wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
lubelskie;janowski;64;14.07;0;0;0;109;6;1231;206;72;131;3;t0605;2022-01-24
lubelskie;krasnostawski;43;6.83;1;0;1;75;14;1374;220;49;165;6;t0606;2022-01-24
lubelskie;kraœnicki;106;11.15;0;0;0;185;25;1757;343;123;219;1;t0607;2022-01-24
lubelskie;lubartowski;41;4.65;0;0;0;127;19;1540;211;48;162;1;t0608;2022-01-24
lubelskie;lubelski;203;13.01;0;0;0;486;73;4789;689;231;452;6;t0609;2022-01-24
lubelskie;³êczyñski;86;15.01;1;0;1;191;8;1925;270;92;178;0;t0610;2022-01-24
lubelskie;³ukowski;104;9.76;2;0;2;214;14;3902;319;124;188;7;t0611;2022-01-24
lubelskie;opolski;40;6.79;0;0;0;131;7;783;146;47;98;1;t0612;2022-01-24
lubelskie;parczewski;10;2.89;0;0;0;68;4;640;73;12;61;0;t0613;2022-01-24
lubelskie;pu³awski;144;12.76;0;0;0;411;39;2736;578;175;402;1;t0614;2022-01-24
lubelskie;radzyñski;50;8.53;0;0;0;80;18;929;175;56;119;0;t0615;2022-01-24
lubelskie;rycki;88;15.76;1;1;0;226;31;2255;328;113;214;1;t0616;2022-01-24
lubelskie;œwidnicki;187;26.07;0;0;0;322;31;2240;505;220;283;2;t0617;2022-01-24
lubelskie;tomaszowski;55;6.68;0;0;0;107;10;1007;219;60;157;2;t0618;2022-01-24
lubelskie;w³odawski;51;13.35;0;0;0;78;4;690;159;55;101;3;t0619;2022-01-24
lubelskie;zamojski;141;13.32;1;0;1;222;23;2491;418;158;257;3;t0620;2022-01-24
lubelskie;Bia³a Podlaska;82;14.34;0;0;0;179;14;1175;277;94;183;0;t0661;2022-01-24
lubelskie;Che³m;59;9.58;0;0;0;121;6;1356;242;67;174;1;t0662;2022-01-24
lubelskie;Lublin;590;17.38;1;0;1;1107;164;10199;2223;682;1527;14;t0663;2022-01-24
lubelskie;Zamoœæ;103;16.29;0;0;0;178;7;1762;278;112;166;0;t0664;2022-01-24
lubuskie;gorzowski;32;4.44;0;0;0;101;29;868;143;34;104;5;t0801;2022-01-24
lubuskie;kroœnieñski;8;1.46;0;0;0;57;16;397;81;13;67;1;t0802;2022-01-24
lubuskie;miêdzyrzecki;30;5.23;0;0;0;84;15;561;130;40;89;1;t0803;2022-01-24
lubuskie;nowosolski;36;4.19;0;0;0;114;33;900;285;42;243;0;t0804;2022-01-24
lubuskie;s³ubicki;24;5.12;0;0;0;69;17;564;119;26;92;1;t0805;2022-01-24
lubuskie;strzelecko-drezdenecki;12;2.46;0;0;0;91;16;427;80;14;65;1;t0806;2022-01-24
lubuskie;sulêciñski;7;1.99;0;0;0;39;2;322;86;13;72;1;t0807;2022-01-24
lubuskie;œwiebodziñski;38;6.82;0;0;0;94;17;715;148;47;100;1;t0808;2022-01-24
lubuskie;zielonogórski;15;1.98;0;0;0;96;30;733;183;17;165;1;t0809;2022-01-24
lubuskie;¿agañski;46;5.85;1;0;1;134;13;590;213;52;153;8;t0810;2022-01-24
lubuskie;¿arski;50;5.22;2;0;2;106;13;814;207;56;148;3;t0811;2022-01-24
lubuskie;wschowski;25;6.45;0;0;0;66;0;239;79;26;52;1;t0812;2022-01-24
lubuskie;Gorzów Wielkopolski;35;2.84;2;0;2;147;34;1083;274;42;227;5;t0861;2022-01-24
lubuskie;Zielona Góra;91;6.44;0;0;0;222;54;1631;548;111;425;12;t0862;2022-01-24
³ódzkie;be³chatowski;113;10.03;1;0;1;260;51;4186;403;136;263;4;t1001;2022-01-24
³ódzkie;kutnowski;50;5.20;0;0;0;215;28;2186;253;56;193;4;t1002;2022-01-24
³ódzkie;³aski;29;5.82;0;0;0;111;10;1586;141;32;108;1;t1003;2022-01-24
³ódzkie;³êczycki;34;6.86;2;1;1;103;8;807;212;38;170;4;t1004;2022-01-24
³ódzkie;³owicki;71;9.12;7;2;5;152;9;1591;279;79;199;1;t1005;2022-01-24
³ódzkie;³ódzki wschodni;102;14.09;0;0;0;197;19;2078;369;115;249;5;t1006;2022-01-24
³ódzkie;opoczyñski;50;6.59;0;0;0;85;7;1258;222;54;161;7;t1007;2022-01-24
³ódzkie;pabianicki;121;10.15;0;0;0;301;41;3519;473;140;327;6;t1008;2022-01-24
³ódzkie;pajêczañski;16;3.13;0;0;0;96;19;1477;65;18;47;0;t1009;2022-01-24
³ódzkie;piotrkowski;75;8.21;1;0;1;189;10;2398;258;85;173;0;t1010;2022-01-24
³ódzkie;poddêbicki;31;7.55;0;0;0;82;6;790;147;39;106;2;t1011;2022-01-24
³ódzkie;radomszczañski;109;9.71;0;0;0;178;36;2792;394;129;265;0;t1012;2022-01-24
³ódzkie;rawski;45;9.28;0;0;0;106;6;1198;134;48;84;2;t1013;2022-01-24
³ódzkie;sieradzki;129;10.99;0;0;0;254;29;3020;453;152;296;5;t1014;2022-01-24
³ódzkie;skierniewicki;34;8.91;0;0;0;60;15;1087;143;38;104;1;t1015;2022-01-24
³ódzkie;tomaszowski;55;4.74;1;1;0;210;39;3183;323;66;255;2;t1016;2022-01-24
³ódzkie;wieluñski;12;1.58;0;0;0;221;28;2369;75;17;58;0;t1017;2022-01-24
³ódzkie;wieruszowski;15;3.57;0;0;0;92;19;904;97;18;77;2;t1018;2022-01-24
³ódzkie;zduñskowolski;58;8.76;0;0;0;134;21;2188;206;60;145;1;t1019;2022-01-24
³ódzkie;zgierski;198;11.92;0;0;0;429;51;5313;932;232;685;15;t1020;2022-01-24
³ódzkie;brzeziñski;21;6.82;0;0;0;43;6;1224;104;23;81;0;t1021;2022-01-24
³ódzkie;£ódŸ;943;13.92;14;0;14;1509;229;16395;3740;1118;2564;58;t1061;2022-01-24
³ódzkie;Piotrków Trybunalski;73;10.03;1;0;1;166;3;1215;244;87;154;3;t1062;2022-01-24
³ódzkie;Skierniewice;89;18.57;0;0;0;116;9;1854;271;102;169;0;t1063;2022-01-24
ma³opolskie;bocheñski;176;16.45;0;0;0;192;88;1714;449;205;240;4;t1201;2022-01-24
ma³opolskie;brzeski;91;9.77;0;0;0;94;48;1324;255;109;146;0;t1202;2022-01-24
ma³opolskie;chrzanowski;169;13.61;4;4;0;283;49;1776;481;183;291;7;t1203;2022-01-24
ma³opolskie;d¹browski;22;3.72;0;0;0;60;17;661;74;22;52;0;t1204;2022-01-24
ma³opolskie;gorlicki;61;5.61;0;0;0;142;27;1412;257;75;175;7;t1205;2022-01-24
ma³opolskie;krakowski;204;7.28;1;1;0;517;233;4297;824;234;580;10;t1206;2022-01-24
ma³opolskie;limanowski;83;6.29;4;2;2;118;61;1169;298;103;193;2;t1207;2022-01-24
ma³opolskie;miechowski;40;8.22;0;0;0;70;22;516;122;44;74;4;t1208;2022-01-24
ma³opolskie;myœlenicki;95;7.43;2;2;0;246;134;1765;337;110;225;2;t1209;2022-01-24
ma³opolskie;nowos¹decki;191;8.80;1;1;0;243;65;2245;622;212;408;2;t1210;2022-01-24
ma³opolskie;nowotarski;110;5.73;8;0;8;157;90;1328;528;133;380;15;t1211;2022-01-24
ma³opolskie;olkuski;105;9.47;2;1;1;237;56;1233;382;138;239;5;t1212;2022-01-24
ma³opolskie;oœwiêcimski;169;11.04;2;0;2;274;88;2630;470;190;276;4;t1213;2022-01-24
ma³opolskie;proszowicki;21;4.87;0;0;0;61;21;577;80;24;56;0;t1214;2022-01-24
ma³opolskie;suski;65;7.72;2;1;1;113;44;1138;257;78;175;4;t1215;2022-01-24
ma³opolskie;tarnowski;144;7.15;0;0;0;299;89;2262;465;170;286;9;t1216;2022-01-24
ma³opolskie;tatrzañski;31;4.55;0;0;0;67;56;619;174;42;131;1;t1217;2022-01-24
ma³opolskie;wadowicki;112;7.00;1;0;1;350;79;2362;377;143;229;5;t1218;2022-01-24
ma³opolskie;wielicki;197;15.16;1;1;0;192;97;2875;562;233;318;11;t1219;2022-01-24
ma³opolskie;Kraków;996;12.75;4;1;3;1269;1024;12733;3263;1166;2036;61;t1261;2022-01-24
ma³opolskie;Nowy S¹cz;73;8.72;4;4;0;79;39;741;266;94;172;0;t1262;2022-01-24
ma³opolskie;Tarnów;75;6.93;1;1;0;196;51;1370;281;95;182;4;t1263;2022-01-24
mazowieckie;bia³obrzeski;56;16.80;0;0;0;78;9;1226;142;59;79;4;t1401;2022-01-24
mazowieckie;ciechanowski;22;2.47;0;0;0;259;6;2732;181;32;149;0;t1402;2022-01-24
mazowieckie;garwoliñski;127;11.66;1;1;0;222;40;2844;427;150;266;11;t1403;2022-01-24
mazowieckie;gostyniñski;29;6.48;1;0;1;74;6;830;145;31;109;5;t1404;2022-01-24
mazowieckie;grodziski;231;23.89;0;0;0;306;47;4332;783;276;482;25;t1405;2022-01-24
mazowieckie;grójecki;106;10.80;2;1;1;218;26;4437;331;119;202;10;t1406;2022-01-24
mazowieckie;kozienicki;29;4.85;0;0;0;119;12;1707;183;37;145;1;t1407;2022-01-24
mazowieckie;legionowski;201;16.85;0;0;0;367;99;6547;729;224;487;18;t1408;2022-01-24
mazowieckie;lipski;20;5.93;0;0;0;41;9;499;97;24;71;2;t1409;2022-01-24
mazowieckie;³osicki;13;4.24;0;0;0;34;1;385;88;16;72;0;t1410;2022-01-24
mazowieckie;makowski;27;6.04;0;0;0;70;9;714;114;27;85;2;t1411;2022-01-24
mazowieckie;miñski;182;11.75;0;0;0;317;71;6489;667;203;440;24;t1412;2022-01-24
mazowieckie;m³awski;58;8.01;0;0;0;136;21;2042;215;63;149;3;t1413;2022-01-24
mazowieckie;nowodworski;87;10.95;1;1;0;174;38;3563;318;97;203;18;t1414;2022-01-24
mazowieckie;ostro³êcki;62;7.00;0;0;0;145;18;1874;165;66;90;9;t1415;2022-01-24
mazowieckie;ostrowski;46;6.38;0;0;0;136;7;1119;192;53;138;1;t1416;2022-01-24
mazowieckie;otwocki;218;17.52;0;0;0;405;110;4966;729;246;463;20;t1417;2022-01-24
mazowieckie;piaseczyñski;216;11.40;0;0;0;412;145;7879;893;254;616;23;t1418;2022-01-24
mazowieckie;p³ocki;81;7.30;1;1;0;300;31;2721;336;95;227;14;t1419;2022-01-24
mazowieckie;p³oñski;61;7.02;1;0;1;181;15;2343;278;76;199;3;t1420;2022-01-24
mazowieckie;pruszkowski;254;15.26;0;0;0;371;128;7541;863;288;560;15;t1421;2022-01-24
mazowieckie;przasnyski;17;3.25;0;0;0;93;4;1226;100;18;82;0;t1422;2022-01-24
mazowieckie;przysuski;37;8.95;1;0;1;117;6;885;120;41;73;6;t1423;2022-01-24
mazowieckie;pu³tuski;21;4.05;0;0;0;107;12;1005;113;26;84;3;t1424;2022-01-24
mazowieckie;radomski;115;7.55;0;0;0;233;26;3139;489;132;345;12;t1425;2022-01-24
mazowieckie;siedlecki;62;7.62;1;0;1;150;19;2663;255;80;165;10;t1426;2022-01-24
mazowieckie;sierpecki;57;11.02;0;0;0;229;14;1390;244;68;173;3;t1427;2022-01-24
mazowieckie;sochaczewski;88;10.35;0;0;0;396;20;3172;392;102;287;3;t1428;2022-01-24
mazowieckie;soko³owski;45;8.39;0;0;0;160;15;1685;154;52;100;2;t1429;2022-01-24
mazowieckie;szyd³owiecki;17;4.30;0;0;0;66;5;598;94;23;69;2;t1430;2022-01-24
mazowieckie;warszawski zachodni;151;12.64;0;0;0;253;83;5347;574;171;399;4;t1432;2022-01-24
mazowieckie;wêgrowski;77;11.73;0;0;0;137;10;1634;257;88;162;7;t1433;2022-01-24
mazowieckie;wo³omiñski;451;17.95;0;0;0;636;191;12728;1528;527;963;38;t1434;2022-01-24
mazowieckie;wyszkowski;34;4.58;0;0;0;163;17;1927;155;39;106;10;t1435;2022-01-24
mazowieckie;zwoleñski;9;2.50;0;0;0;78;3;773;99;10;89;0;t1436;2022-01-24
mazowieckie;¿uromiñski;16;4.17;1;0;1;57;14;1274;86;16;69;1;t1437;2022-01-24
mazowieckie;¿yrardowski;82;10.84;0;0;0;147;22;2655;260;94;164;2;t1438;2022-01-24
mazowieckie;Ostro³êka;41;7.90;0;0;0;143;6;1114;127;48;76;3;t1461;2022-01-24
mazowieckie;P³ock;96;8.07;2;2;0;315;43;3418;437;109;311;17;t1462;2022-01-24
mazowieckie;Radom;220;10.45;0;0;0;287;71;5471;804;253;521;30;t1463;2022-01-24
mazowieckie;Siedlce;60;7.67;2;0;2;188;23;3160;232;70;159;3;t1464;2022-01-24
mazowieckie;Warszawa;2517;14.03;5;0;5;2715;1643;66723;10200;2888;7132;180;t1465;2022-01-24
opolskie;brzeski;60;6.69;0;0;0;165;12;1992;201;66;132;3;t1601;2022-01-24
opolskie;g³ubczycki;22;4.86;0;0;0;162;16;974;133;24;108;1;t1602;2022-01-24
opolskie;kêdzierzyñsko-kozielski;132;14.11;0;0;0;338;63;4011;382;157;219;6;t1603;2022-01-24
opolskie;kluczborski;43;6.59;0;0;0;163;7;1185;154;49;104;1;t1604;2022-01-24
opolskie;krapkowicki;56;8.81;0;0;0;194;21;1829;193;68;125;0;t1605;2022-01-24
opolskie;namys³owski;18;4.22;0;0;0;58;27;1172;68;21;46;1;t1606;2022-01-24
opolskie;nyski;151;11.14;1;0;1;382;22;3285;497;185;303;9;t1607;2022-01-24
opolskie;oleski;31;4.83;3;0;3;137;33;1188;115;32;81;2;t1608;2022-01-24
opolskie;opolski;115;9.29;0;0;0;247;44;3420;394;133;255;6;t1609;2022-01-24
opolskie;prudnicki;16;2.90;0;0;0;104;4;1043;124;18;104;2;t1610;2022-01-24
opolskie;strzelecki;44;5.93;1;0;1;248;45;2912;311;64;247;0;t1611;2022-01-24
opolskie;Opole;186;14.53;2;1;1;229;48;4015;667;218;440;9;t1661;2022-01-24
podkarpackie;bieszczadzki;37;17.15;2;0;2;60;2;611;92;38;54;0;t1801;2022-01-24
podkarpackie;brzozowski;76;11.60;0;0;0;131;11;2269;277;95;178;4;t1802;2022-01-24
podkarpackie;dêbicki;114;8.43;0;0;0;176;52;4396;336;129;207;0;t1803;2022-01-24
podkarpackie;jaros³awski;75;6.24;0;0;0;297;30;3191;334;89;243;2;t1804;2022-01-24
podkarpackie;jasielski;79;6.98;0;0;0;165;27;3611;315;83;231;1;t1805;2022-01-24
podkarpackie;kolbuszowski;42;6.75;0;0;0;59;26;1806;186;51;135;0;t1806;2022-01-24
podkarpackie;kroœnieñski;80;7.13;0;0;0;227;34;1153;355;96;257;2;t1807;2022-01-24
podkarpackie;le¿ajski;70;10.11;0;0;0;177;28;2270;323;96;224;3;t1808;2022-01-24
podkarpackie;lubaczowski;19;3.46;0;0;0;70;27;1405;135;23;112;0;t1809;2022-01-24
podkarpackie;³añcucki;120;14.79;1;0;1;238;43;3055;405;136;268;1;t1810;2022-01-24
podkarpackie;mielecki;172;12.58;0;0;0;287;64;4170;469;184;284;1;t1811;2022-01-24
podkarpackie;ni¿añski;44;6.62;0;0;0;87;21;1975;215;56;159;0;t1812;2022-01-24
podkarpackie;przemyski;49;6.62;0;0;0;121;21;1517;234;57;175;2;t1813;2022-01-24
podkarpackie;przeworski;73;9.33;0;0;0;140;39;3085;224;80;143;1;t1814;2022-01-24
podkarpackie;ropczycko-sêdziszowski;27;3.62;0;0;0;105;25;1680;143;31;112;0;t1815;2022-01-24
podkarpackie;rzeszowski;250;14.71;0;0;0;390;79;6899;796;302;489;5;t1816;2022-01-24
podkarpackie;sanocki;41;4.35;0;0;0;161;48;2312;271;51;219;1;t1817;2022-01-24
podkarpackie;stalowowolski;37;3.50;0;0;0;178;36;2713;230;48;181;1;t1818;2022-01-24
podkarpackie;strzy¿owski;39;6.36;0;0;0;175;14;1926;172;50;122;0;t1819;2022-01-24
podkarpackie;tarnobrzeski;37;7.00;0;0;0;109;17;1091;163;38;124;1;t1820;2022-01-24
podkarpackie;leski;22;8.33;0;0;0;53;14;813;77;27;49;1;t1821;2022-01-24
podkarpackie;Krosno;35;7.59;0;0;0;85;21;379;177;42;135;0;t1861;2022-01-24
podkarpackie;Przemyœl;32;5.29;0;0;0;130;22;1415;181;40;139;2;t1862;2022-01-24
podkarpackie;Rzeszów;382;19.41;0;0;0;545;102;8217;1240;451;779;10;t1863;2022-01-24
podkarpackie;Tarnobrzeg;51;10.95;0;0;0;110;9;927;203;58;141;4;t1864;2022-01-24
podlaskie;augustowski;14;2.42;0;0;0;56;6;703;109;17;92;0;t2001;2022-01-24
podlaskie;bia³ostocki;173;11.51;0;0;0;294;36;3164;662;212;446;4;t2002;2022-01-24
podlaskie;bielski;46;8.51;1;0;1;100;18;1078;165;55;109;1;t2003;2022-01-24
podlaskie;grajewski;22;4.68;0;0;0;42;3;386;91;27;61;3;t2004;2022-01-24
podlaskie;hajnowski;40;9.46;0;0;0;98;7;561;172;56;116;0;t2005;2022-01-24
podlaskie;kolneñski;12;3.16;0;0;0;49;6;396;68;17;50;1;t2006;2022-01-24
podlaskie;³om¿yñski;21;4.13;1;0;1;61;15;826;73;26;47;0;t2007;2022-01-24
podlaskie;moniecki;31;7.70;0;0;0;31;7;721;126;38;87;1;t2008;2022-01-24
podlaskie;sejneñski;7;3.53;0;0;0;11;2;214;34;10;24;0;t2009;2022-01-24
podlaskie;siemiatycki;14;3.19;0;0;0;42;2;619;76;15;60;1;t2010;2022-01-24
podlaskie;sokólski;5;0.75;0;0;0;48;5;264;92;13;79;0;t2011;2022-01-24
podlaskie;suwalski;9;2.53;0;0;0;34;5;260;63;11;51;1;t2012;2022-01-24
podlaskie;wysokomazowiecki;32;5.65;0;0;0;51;9;757;118;40;77;1;t2013;2022-01-24
podlaskie;zambrowski;48;11.06;1;0;1;68;6;978;131;52;77;2;t2014;2022-01-24
podlaskie;Bia³ystok;378;12.70;0;0;0;762;86;6746;1308;462;836;10;t2061;2022-01-24
podlaskie;£om¿a;54;8.60;0;0;0;121;18;1726;167;71;95;1;t2062;2022-01-24
podlaskie;Suwa³ki;13;1.86;0;0;0;76;13;634;121;15;105;1;t2063;2022-01-24
pomorskie;bytowski;60;7.58;0;0;0;205;13;3123;235;66;165;4;t2201;2022-01-24
pomorskie;chojnicki;56;5.73;0;0;0;210;30;2246;222;72;148;2;t2202;2022-01-24
pomorskie;cz³uchowski;15;2.68;0;0;0;94;6;929;97;18;77;2;t2203;2022-01-24
pomorskie;gdañski;96;8.04;0;0;0;351;77;5482;381;116;258;7;t2204;2022-01-24
pomorskie;kartuski;109;7.74;2;1;1;347;80;5743;454;139;313;2;t2205;2022-01-24
pomorskie;koœcierski;54;7.42;0;0;0;117;18;2563;215;58;155;2;t2206;2022-01-24
pomorskie;kwidzyñski;40;4.82;1;0;1;199;27;3435;170;43;125;2;t2207;2022-01-24
pomorskie;lêborski;41;6.21;3;0;3;183;17;2256;193;52;136;5;t2208;2022-01-24
pomorskie;malborski;71;11.20;1;0;1;149;5;1322;237;84;143;10;t2209;2022-01-24
pomorskie;nowodworski;53;14.94;0;0;0;84;12;1045;168;61;91;16;t2210;2022-01-24
pomorskie;pucki;54;6.19;0;0;0;289;40;5049;277;64;211;2;t2211;2022-01-24
pomorskie;s³upski;54;5.47;0;0;0;137;21;2315;259;63;184;12;t2212;2022-01-24
pomorskie;starogardzki;89;6.94;0;0;0;235;38;4197;311;101;204;6;t2213;2022-01-24
pomorskie;tczewski;139;12.02;2;0;2;342;29;4000;489;160;315;14;t2214;2022-01-24
pomorskie;wejherowski;254;11.61;3;0;3;633;75;10358;1105;301;787;17;t2215;2022-01-24
pomorskie;sztumski;20;4.86;0;0;0;94;7;665;95;22;73;0;t2216;2022-01-24
pomorskie;Gdañsk;550;11.66;0;0;0;1151;393;17761;2075;637;1367;71;t2261;2022-01-24
pomorskie;Gdynia;311;12.65;0;0;0;655;137;9362;1116;359;725;32;t2262;2022-01-24
pomorskie;S³upsk;70;7.75;0;0;0;152;21;2115;387;83;298;6;t2263;2022-01-24
pomorskie;Sopot;39;10.97;0;0;0;59;32;1029;182;43;134;5;t2264;2022-01-24
œl¹skie;bêdziñski;139;9.40;1;0;1;434;37;4530;490;153;330;7;t2401;2022-01-24
œl¹skie;bielski;242;14.56;1;0;1;583;106;8948;761;289;457;15;t2402;2022-01-24
œl¹skie;cieszyñski;170;9.55;0;0;0;447;63;6251;635;211;406;18;t2403;2022-01-24
œl¹skie;czêstochowski;93;6.92;5;0;5;286;30;3092;372;108;252;12;t2404;2022-01-24
œl¹skie;gliwicki;178;15.41;4;2;2;340;95;4711;583;216;361;6;t2405;2022-01-24
œl¹skie;k³obucki;69;8.17;0;0;0;219;32;2554;239;86;150;3;t2406;2022-01-24
